第,h
１４,m
分钟,q
刚刚,d
恢复,v
到,v
较佳,a
状态,n
的,u
守门员,n
朱力,nh
飞身,v
挡,v
出,vd
一,m
记,q
７,m
米,q
球,n
后,nd
以,p
２０,m
５,m
比,p
２５,m
落后,v
分,q
天津,ns
队,n
士气,n
大,d
振,v
利用,v
对手,n
失误,v
增多,v
之,u
机,n
连,p
打,v
反击,v
１１,m
号,n
拚命,v
三,m
郎,n
翟文明,nh
表现,v
出色,a
快攻,v
和,c
准确,a
９,m
米线,n
外,nd
远射,v
得,v
终场,v
前,nd
２,m
解放,v
军队,n
射门,v
被,p
长传,v
穆瑞正,nh
个人,n
突破,v
再,d
添,v
距,v
全场,n
结束,v
只,d
差,v
时,nt
不惜,v
使,v
队员,n
罚,v
黄牌,n
小,a
出场,v
用尽,v
一切,r
手段,n
死死,d
缠住,v
阻止,v
进攻,v
拖延,v
时间,n
保住,v
０,m
优势,n
当,p
记时,v
牌,n
显示,v
最后,n
一个,mq
３,m
秒,q
钟,nt
获,v
任意,a
机会,n
赵邦义,nh
接,v
队友,n
传球,v
在,p
果断,a
起跳,v
挥臂,v
猛力,d
将,p
从,p
对方,n
门将,n
双臂,n
之间,nd
砸,v
入球,v
门,n
决定,v
指出,v
１９８７,m
年,nt
月,nt
日,nt
辽宁,ns
对,p
山东,ns
场,q
比赛,v
中,nd
出现,v
不,d
正常,a
现象,n
场上,nl
消极,a
赛风,n
正,a
引起,v
群众,n
不满,a
给予,v
严重,a
警告,v
对于,p
这,r
处理,v
在场,v
记者,n
议论纷纷,i
各,r
抒,v
已,d
见,v
争论不休,i
中国,ns
足球,n
名宿,n
方,n
纫,v
秋,nt
今天,nt
全运会,j
特刊,n
发表,v
文章,n
责问,v
鲁,j
辽,j
大战,v
结果,n
真的,a
是,vl
赛前,nt
估计,v
二,m
思想,n
作风,n
水平,n
还是,d
心领神会,i
愚弄,v
领导,n
把戏,n
他,r
近,a
几,m
来,u
赛场,n
风气,n
差劲,a
已经,d
我们,r
一些,m
比较,d
有,v
才华,n
教练,n
无法,d
施展,v
他们,r
才能,n
上海,ns
支,q
足球队,n
都,d
曾,d
全国,n
冠军,n
称号,n
这次,r
决赛,n
第一,m
阶段,n
小组,n
按,p
竞赛,v
规程,n
每,r
必须,d
淘汰,v
战,n
如果,c
不是,vl
还,d
会,vu
一丝,mq
出线,v
希望,v
昨天,nt
下午,nt
上半时,nt
领先,v
可是,c
下半时,nt
攻进,v
遂,v
平局,n
挤出,v
杨秀武,nh
谈话,n
可以,vu
看作,v
当事者,n
含蓄,a
体操,n
小将,n
王惠莹,nh
艰苦,a
拚搏,v
技,n
压,v
群芳,n
摘得,v
两,m
枚,q
金牌,n
名将,n
吕明力,nh
胜,v
众,n
强,a
夺得,v
鞍马,n
手球,n
健儿,n
击败,v
军旅,n
夺牌,v
有望,v
主将,n
宁春红,nh
与,c
我国,n
名,n
国际,n
特级,a
大师,n
之一,m
安艳凤,nh
对阵,v
双方,n
苦战,v
七,m
个,q
小时,nt
巧计,n
周旋,v
百,m
思,v
莫,d
解,v
终,d
逼,v
成,v
和棋,n
另外,r
盘,n
津,n
刘欣,nh
赖晓青,nh
得心应手,i
分别,d
战胜,v
晋,j
韩红,nh
杨炜,nh
告捷,v
明日,nt
河北,ns
作,v
赛,v
实力,n
上,nd
稍胜一筹,i
可望,v
取胜,v
游泳,v
一天,nt
詹江,nh
王欣,nh
一鼓作气,i
男子,n
２００,m
混合泳,n
女子,n
蝶泳,n
取得,v
四,m
并,c
双双,a
打破,v
项目,n
我,r
市,n
最高,a
纪录,v
网球,n
团体赛,n
进入,v
轮,n
争夺,v
男队,n
双打,n
发挥,v
不好,a
１,m
负于,v
北京,ns
第二,m
失去,v
排球,n
争名,v
无望,v
男排,j
并不,d
气馁,v
虽然,c
不如,v
但,c
股,n
拚,v
劲,n
年前,nt
首届,n
青少年,j
运动,n
会上,nl
颗,q
耀眼,a
新星,n
冉冉,d
升起,v
给,p
蓬勃向上,i
事业,n
带来,v
了,u
新,a
生机,n
今年,nt
１６,m
岁,nt
她,r
父亲,n
王春生,nh
位,q
老资格,n
技巧,n
运动员,n
１９８５,m
终于,d
露出,v
锋芒,n
跳,v
马,n
动作,n
令人,n
耳目一新,i
人,n
独得,v
全能,a
跳马,n
自由体操,n
一举,d
轰动,v
体坛,n
看,v
着,u
领奖,v
自信,v
面容,n
许多,a
行家,n
新闻记者,n
预言,v
又,d
马艳红,nh
吴佳妮,nh
曲德瑞,nh
指导,v
下,nd
一系列,a
获奖,v
继而,d
界,n
人们,n
为,p
将要,vu
参加,v
六运会,j
捏,v
